{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58120', 'destinationIp': '52.113.194.132', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7284'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58121', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58133', 'destinationIp': '40.79.189.59', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58134', 'destinationIp': '165.225.34.41', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58137', 'destinationIp': '165.225.56.32', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58138', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58172', 'destinationIp': '165.225.56.32', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58173', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58174', 'destinationIp': '13.107.136.9', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '9164'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58175', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58180', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58182', 'destinationIp': '165.225.56.32', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58183', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58186', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58187', 'destinationIp': '165.225.216.24', 'destinationPort': '80', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58188', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58189', 'destinationIp': '165.225.56.32', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58190', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58194', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58195', 'destinationIp': '20.42.73.25', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58196', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58198', 'destinationIp': '165.225.56.32', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58199', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58202', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58203', 'destinationIp': '18.118.116.5', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '16084'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58204', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58205', 'destinationIp': '18.118.116.5', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58206', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58209', 'destinationIp': '165.225.216.24', 'destinationPort': '80', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58210', 'destinationIp': '165.225.216.24', 'destinationPort': '8080', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58211', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58212', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58213', 'destinationIp': '20.37.153.2', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '11924'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58214', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'ESTABLISHED', 'pid': '7544'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58215', 'destinationIp': '165.225.56.32', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58216', 'destinationIp': '165.225.216.24', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
{'protocol': 'TCP', 'sourceIp': '192.168.1.65', 'sourcePort': '58220', 'destinationIp': '165.225.56.32', 'destinationPort': '443', 'status': 'TIME_WAIT', 'pid': '0'}
